# epoch,disc_loss_epoch,gan_loss_epoch
1.000000000000000000e+00,4.774912236438222379e-12,0.000000000000000000e+00
2.000000000000000000e+00,6.948073405510513112e-07,0.000000000000000000e+00
3.000000000000000000e+00,1.075580655651720008e-07,5.169092673895647749e-07
4.000000000000000000e+00,2.073521912097930908e-01,0.000000000000000000e+00
5.000000000000000000e+00,5.372339018094862695e-09,7.311607360839843750e+01
6.000000000000000000e+00,4.309668843994872766e-28,1.701651916503906250e+02
7.000000000000000000e+00,9.466540813446044922e-01,6.417610931396484375e+01
8.000000000000000000e+00,4.586809140835144396e-18,6.103712844848632812e+01
9.000000000000000000e+00,9.992452859878540039e-01,4.158015441894531250e+01
1.000000000000000000e+01,2.289210259914398193e-01,4.826193237304687500e+01
1.100000000000000000e+01,1.270861730517935939e-06,5.005808639526367188e+01
1.200000000000000000e+01,9.463959336280822754e-01,1.015775070190429688e+02
1.300000000000000000e+01,1.174288718175375834e-05,2.843568611145019531e+01
1.400000000000000000e+01,1.028404846191406250e+02,1.885462188720703125e+02
1.500000000000000000e+01,3.624361038208007812e+01,1.761439361572265625e+02
1.600000000000000000e+01,2.379712760448455811e-01,3.786751937866210938e+01
1.700000000000000000e+01,1.169744413346052170e-03,2.503140068054199219e+01
1.800000000000000000e+01,4.847001731395721436e-01,3.375831604003906250e+01
1.900000000000000000e+01,1.768228709697723389e-01,5.332583999633789062e+01
2.000000000000000000e+01,5.543730367207899690e-05,5.491117477416992188e+01
2.100000000000000000e+01,9.245773404836654663e-02,5.501014709472656250e+01
2.200000000000000000e+01,2.765971422195434570e-01,1.009327926635742188e+02
2.300000000000000000e+01,2.548292523177342339e-14,3.877385711669921875e+01
2.400000000000000000e+01,2.182047665119171143e-01,5.801041412353515625e+01
2.500000000000000000e+01,1.843565106391906738e-01,7.879159545898437500e+01
2.600000000000000000e+01,1.028118491172790527e+00,8.535237121582031250e+01
2.700000000000000000e+01,6.718005537986755371e-01,7.613735961914062500e+01
2.800000000000000000e+01,1.390256881713867188e+00,5.076322937011718750e+01
2.900000000000000000e+01,2.579287290573120117e-01,1.137999725341796875e+01
3.000000000000000000e+01,2.422411918640136719e+00,3.801716613769531250e+01
3.100000000000000000e+01,2.531397342681884766e+00,1.656620216369628906e+01
3.200000000000000000e+01,4.291870072484016418e-02,2.814919090270996094e+01
3.300000000000000000e+01,5.292488932609558105e-01,8.728451728820800781e+00
3.400000000000000000e+01,4.220681786537170410e-01,2.379729080200195312e+01
3.500000000000000000e+01,1.687299311161041260e-01,2.156177711486816406e+01
3.600000000000000000e+01,1.553332209587097168e-01,1.727671623229980469e+01
3.700000000000000000e+01,2.035436481237411499e-01,3.429965972900390625e+01
3.800000000000000000e+01,2.230881303548812866e-01,1.496265506744384766e+01
3.900000000000000000e+01,1.212291598320007324e+00,2.074572181701660156e+01
4.000000000000000000e+01,1.641689240932464600e-02,1.362996292114257812e+01
4.100000000000000000e+01,2.669265568256378174e-01,1.764509963989257812e+01
4.200000000000000000e+01,1.854072660207748413e-01,8.482599258422851562e+00
4.300000000000000000e+01,2.283059507608413696e-01,1.505336380004882812e+01
4.400000000000000000e+01,1.469702124595642090e-01,1.350619888305664062e+01
4.500000000000000000e+01,5.299983024597167969e-01,1.375409412384033203e+01
4.600000000000000000e+01,3.085423111915588379e-01,1.205986022949218750e+01
4.700000000000000000e+01,3.742903470993041992e-01,9.456153869628906250e+00
4.800000000000000000e+01,5.313668251037597656e-01,1.628082847595214844e+01
4.900000000000000000e+01,1.408325135707855225e-01,6.051338195800781250e+00
5.000000000000000000e+01,3.301776349544525146e-01,1.787152671813964844e+01
5.100000000000000000e+01,3.639650046825408936e-01,2.130548477172851562e+01
